text,toxicity,severe_toxicity,insult,flirtation,profanity,sexually_explicit,threat,identity_attack,,,,
"""#Breaking: Claiming bias against conservatives, @FreedomWatchUSA has filed a class action lawsuit against Google, Facebook, Instagram, Twitter, and Apple.""",0.049898956,0.059416566,0.1461527,0.3650324,0.09991201,0.05735956,0.11497008,0.1580034,,,,
'Who’s paying your salary? The Italians who live here? Or the people getting off boats tomorrow morning?' —Matteo Salvini scolds Khalid Chaouki in a heated debate.   https://youtu.be/F1N5QLmzCQA  #Mastrangelo #Salvini #Italy #gimmegrants #,0.05493369,0.10774752,0.15716773,0.3695517,0.14001283,0.36116198,0.10335975,0.3005098,,,,
My interview with the one and only @GeertWilders on #MuhammadCartoonContest sent your entry in yet?? https://medium.com/@sd_saurav/why-geert-wilders-is...,0.08170467,0.06013928,0.085355334,0.4946381,0.055569094,0.168901,0.097025074,0.30194375,,,,
"""My interview with the legend Robert Spencer, exposing the truth about Islam https://medium.com/@sd_saurav/robert-spencer-the-h...""",0.0471521,0.057735212,0.11085331,0.366115,0.07243527,0.10955728,0.06652366,0.299139,,,,
"""Imagine the American economy with no illegal alien labor and only 5-10% of the number of H1-B visas?The IT profession in America has been ruined by H1-B visas.If you are 50+, unless you have a completely unique/hard to find skillset, they will fire you, hire an H1-B to do the job in a crappy and impossible to maintain manner-but, hey, it's cheap+DIVERSITY!""",0.35756677,0.39083552,0.55312556,0.5411063,0.46399584,0.083673015,0.5473662,0.39822412,,,,
'Holland bans Islamic veils and 'face-covering clothing' as senator declares the move 'the first step to de-Islamize the #Netherlands'' Hopefully the de-islamization doesn't stop at something so superficial. http://www.dailymail.co.uk/news/article-5887449/Du... #islam,0.29855597,0.32601255,0.464822,0.46855688,0.30731818,0.15491544,0.4132619,0.6898093,,,,
'Migrants 'Cheat and Lie' to Exploit System - Danish Immigration Minister' I wish to hear what UK Minister of State for Immigration (The Rt Hon Caroline Nokes MP) has to say about the asylum seekers in Britain.  https://europe.infowars.com/asylum-seekers-cheat-a...,0.34388447,0.08120733,0.2429364,0.52150553,0.05267103,0.05404275,0.11575266,0.2895468,,,,
1/ The term 'Dreamers' is high-powered persuasive warfare. Instantly claims the moral high-ground. What's wrong with having dreams?    2/ Appeals to logic and rationality are useless against 'Dreamers'. Only effective counter is to reframe the issue. What's hot right now?,0.17661177,0.07019339,0.33170006,0.51111096,0.116671436,0.14405873,0.12206975,0.08451967,,,,
A less scrupulous and more devious person than I would infiltrate an antifa riot and use it as an excuse to assault the leftist media.,0.28996843,0.20623462,0.4414816,0.3598345,0.14873083,0.07139455,0.61697084,0.2929946,,,,
"""Illegal aliens are an imminent threat to this country. They must be rounded up, interned, and deported NOW. All illegal crossings at the border must be stopped with GUNFIRE. #InternAndDeport""",0.5174561,0.2931417,0.47387606,0.5003723,0.09279573,0.06528431,0.6125105,0.6026502,,,,
"""Christian cake baker who won SCOTUS case is now being harassed by demented Satanist homosexuals, backed by the state of Colorado.""",0.59863794,0.23459259,0.37053308,0.33708295,0.09599305,0.32949063,0.19877513,0.45751244,,,,
If Conservatives don't become guerilla militant and fast then 60 million progressives are going to turn America in to a socialist politically correct shithole. The govt is going to appease black/brown leftist to maintain socialism. That means your persecution.,0.5049312,0.5034006,0.6822399,0.32763815,0.748808,0.31294414,0.2596448,0.8008965,,,,
What is happening to Infowars right now is what is going to happen to your white children/grandchildren in the next 20 years.,0.33341047,0.2314706,0.26234868,0.27753127,0.11239461,0.08461456,0.47667456,0.66327685,,,,
Where are the 'Do not tread on me' 2nd Amendment crowd? Why are there not Patriots in the streets? Why aren't Progressives having unfortunate accidents?,0.15918289,0.043152917,0.10188338,0.3206832,0.03274868,0.045124657,0.09038551,0.14312732,,,,
This is a reminder that the 'white extinction anxiety' article means that progressives are banking and planning on your childrens persecution.,0.31714454,0.16377926,0.29254338,0.36691546,0.14098725,0.27344814,0.31222138,0.51541233,,,,
"""Looking at the news today, it's clear that we are in a soft coup leading to outright anarchy by far left progressives/democrats/socialist. In my opinion we have already seen countless examples of outright sedition by most left wing politicians that should be facing felony charges. And they aren't. Trump must kill/deport/imprison them now.""",0.49981686,0.37495023,0.38343003,0.34379247,0.13084371,0.033787813,0.88568217,0.259851,,,,
"""New band names, by me: - Gay Retards on Fire - Piss Cops - Catcher in the - Jesus Christ 2 - Robocock Battlecry - Thunderlunch at the Casino - Guitar Band - The Beenles - Muslim Cops on Fire""",0.004130255,0.10743413,0.14562103,0.40843973,0.0767994,0.52077764,0.11262373,0.099503726,,,,
'Is fucking a retarded girl rape? Asking for a friend.' - Barrack 'Sadam Hussein' Obama,0.86967754,0.8948689,0.91295445,0.7784964,0.94586813,0.9651972,0.7769516,0.7680423,,,,
"""Dear god I hope Trump runs in 2020, there is nothing else that can give me more Schadenfreude than seeing the left utterly lose it.""",0.17759849,0.13286997,0.24293062,0.35254613,0.083890274,0.05149413,0.3364616,0.20581397,,,,
Male Feminists believe in trickle down pussy.,0.8795294,0.6774287,0.70199466,0.5941737,0.93894285,0.97458434,0.15792273,0.6796316,,,,
How can the right break the conditioning of the left?,0.027065687,0.01872574,0.030262796,0.16727132,0.018519582,0.02583901,0.08154341,0.070831515,,,,
"""While leftist celebrated their little victory in the primaries yesterday we all celebrate the great things that SCOTUS gave us this week, Travel ban, CA abortion,the upset for unions AND NOW KENNEDY AND IT'S NOT EVEN THE CLOSE TO 2020""",0.12309273,0.074866824,0.114201695,0.35749388,0.060970083,0.069599144,0.24527869,0.19605073,,,,
My writeup: The illegal immigrant who killed Kate Steinle has been acquitted of murder in that wonderful sanctuary city known as San Francisco. https://www.dangerous.com/37311/breaking-illegal-i...,0.2286382,0.23450539,0.33235824,0.48785034,0.124195464,0.049249224,0.6146862,0.4406472,,,,
They'd fold like an old card table.,0.0717155,0.0563605,0.1473275,0.40883085,0.06681768,0.07618991,0.07359351,0.065634,,,,
"""Going to post this over here.    Magic the Gathering, a popular (children's) card game recently went through their own version of GamerGate, with radical leftists hosting a purge of anyone left of Mao.    One of the purged starts gathering evidence, and uncovers a pedophile ring in staffers.""",0.28825936,0.22612202,0.47993913,0.36479104,0.07034299,0.35611412,0.23077579,0.35974562,,,,
I have spent the past few hours dealing with my radical leftists stalkers from Little Green Footballs harassing me on Twitter for the crime of speaking to people they declared to be unpersons. Scary thing is they post tweets of mine on their blog for the sole purpose of organizing harassment.,0.23452865,0.19560961,0.2699718,0.49428177,0.1352419,0.17549697,0.41127697,0.40389025,,,,
"""Because it's better than the alternative, which is to let the #TechLeft continue to control the entire industry.""",0.020685982,0.007233332,0.02888899,0.17656578,0.006435667,0.008136827,0.021347722,0.0200295,,,,
Trump to EPA Chief Scott Pruitt as Leftists Attack: ‘We Have Your Back�?http://www.breitbart.com/big-government/2018/04/03...,0.0753116,0.12567107,0.2034864,0.5173691,0.09463805,0.090911396,0.50396764,0.16543698,,,,
Kind of funny this guy claims to be a Progressive. He is making an argument that Hispanics are under Suspended for disruptive behavior. He's a retired Juvenile Hall Supervisor/Principal that ran for School Board in Fresno.  He wanted old timey discipline. #maga #gabfam @a @amy @microchip https://twitter.com/jxjarvix/status/81672007009309...,0.14777246,0.10072465,0.24764813,0.376296,0.09209464,0.072593674,0.17511104,0.37048477,,,,
"""Democrats, please pick one: 1. Spying on your political opponent using paid agents to mislead government officials is fascism. 2. Anti-Fascism""",0.28996843,0.07562861,0.33229214,0.29864895,0.045235354,0.023143888,0.066545814,0.23945321,,,,
Remember that it's anti semetic to even ponder the possibility of Jews controlling the US media,0.34388447,0.23504023,0.2730757,0.27316147,0.19252765,0.085720934,0.2403081,0.68304455,,,,
"""Morbious, how long have you lived in the UK and worked here? do you have experience of every area of the UK and what the labour situation is like, or are you just regurgitating crap you heard from someone else? I didn't get my facts from the MSM. Our government has been fucking things up badly on train ing and jobs, and being in the EU makes it worse.""",0.54375964,0.6286274,0.75428706,0.38885322,0.86226,0.14836931,0.16811228,0.33172682,,,,
Will probably get twitter-shoahd when the day of the rope arrives there. Warming this account back up just in case.,0.15976663,0.021720512,0.025486404,0.3313368,0.017387861,0.034300357,0.1541541,0.019143345,,,,
"""@thedesertboy, please stop tagging me in your antisemitic posts. I am really uninterested. I will mute you the next time - even though I don't generally mute anyone else.""",0.32563272,0.36928985,0.43922755,0.54382,0.175912,0.14722314,0.6088528,0.5802073,,,,
"""You have to be willing to redpill. I just turned my waitress by showing her a pic of an egyptian girl with blue eyes and telling her, “we are their preferred sex slaves. And why wouldn’t we be?�?   What she gonna say? No, ur wrong black girls are so hot?    Be openly alt right. Flaunt that we r winning.""",0.5958905,0.48259652,0.5153558,0.8537118,0.6216984,0.8998427,0.2198763,0.7400735,,,,
Well... fuck you too Spotify. A disgusting picture designed to humiliate the White people of Australia...,0.8763571,0.87427866,0.90166134,0.48860815,0.958077,0.62826884,0.48419726,0.92455935,,,,
Yeah... hiring Arabs for defense force positions is gonna end super well for the Australian gov and people. Stupid diversity... shit doesn't work yet stupid leftists still push that shit down our throats. On a side note: can we get a facepalm emoji for #Gab @a�?we need it for stupid shit like this.,0.74195385,0.73450106,0.89647454,0.39393592,0.9290194,0.19186287,0.64850456,0.8422688,,,,
"""The more the feminist screams for equality, the more her subconscious screams to be dominated. https://youtu.be/JE5hXeJNRV4""",0.32563272,0.13615519,0.28307322,0.31109732,0.12107988,0.09260503,0.2382536,0.5038155,,,,
"""Twice in the last century, the New World was forced to come to the aid of the Old. The next European war that will inflame the world is already underway, because like before, Europeans are making decisions that lead inevitably to their own conquest. They never learn. https://tinyurl.com/yae4fkl3""",0.12695669,0.110787354,0.17971209,0.45049918,0.14076406,0.09947731,0.23984846,0.29711708,,,,
"""News flash:  The Left is full of hypocrites! Gee, I never would've guessed... 😞 https://www.breitbart.com/big-journalism/2018/08/2...""",0.59863794,0.37004054,0.887709,0.38669318,0.2842775,0.031535767,0.2419008,0.29902196,,,,
Nothing pisses off a homo like having to compete with someone who is everything he despises,0.6769488,0.75276244,0.86700445,0.32145005,0.8348113,0.51610386,0.49187002,0.8773746,,,,
"""I don't mind Israel using espionage and paramilitary tactics to achieve their goals. Pretending to be Muslim terrorists and using that to leverage power against their neighbors is actually pretty damn cool. My problem is that Texans are being manipulated, along with other nations, in a way that does not benefit us at all.""",0.39157572,0.50337696,0.660731,0.4084644,0.55291086,0.054577384,0.3586455,0.80289316,,,,
"""It's time to purge the entire landmass of the United States of the plague that is the Jewish pedophile population https://twitter.com/michaelianblack/status/1020869... They hate our right to bear arms more than SEX WITH CHILDREN I wouldn't mind seeing these vermin Hunger Gamed. Put them in a pit, tell them to hunt each other down""",0.6430099,0.79614675,0.8301602,0.6203798,0.7385791,0.84930843,0.8411647,0.9238612,,,,
