text,toxicity,severe_toxicity,insult,flirtation,profanity,sexually_explicit,threat,identity_attack
""" rt crooked hillary you didn't lose because you couldn't portray yourself as an  """" agent of change """" """" you loss because you are a socialist agent of destruction . shut up hillary and stop whining ! """"""",0.6777893,0.441588,0.8453147,0.37653887,0.27958402,0.0565487,0.4012429,0.3042893
""" rt estonian pm :  """" i don't want blacks in estonia ; this is a white country """" """" via < well said . """"""",0.57027644,0.26695317,0.40801126,0.40304783,0.26430893,0.22770569,0.23548499,0.6859
are a bunch of religious bigots . i hope you experience something similar to what you put gay people through in your own lives.fuck u .,0.9254919,0.91905266,0.942489,0.34574372,0.9750864,0.7407407,0.61616635,0.9495779
hamas is the only one who lies and all those like hamas . the only gobels are those who believe hamas .,0.38261065,0.14461365,0.3760196,0.40668726,0.09631167,0.0967898,0.18499802,0.31152487
one of the questions never asked : if africans had won any of their repeated wars for european conquest  would we still be slaves ? of course .,0.2590451,0.27402666,0.29606426,0.29097715,0.21982282,0.07300225,0.48078042,0.6801606
the biggest racist in uk politics - diane i hate whites abbott !,0.7138269,0.763735,0.76923513,0.43324417,0.5816552,0.18499845,0.37664753,0.9399891
the uncultured and uncivilized men from cental india who invaded asia destroyed the great persian culture  destroyed remains of indus,0.355017,0.5018696,0.5116161,0.47527096,0.3927915,0.22250904,0.7603897,0.69361514
your ugly white cis male scum . your what's wrong with america .,0.9189384,0.86440223,0.9625365,0.3181384,0.84085554,0.5003182,0.18610884,0.9423669
"""  """" by the quran  we will kill you all  you faggots ! """" """" : muslims attack gay club in paris  beating patrons and sprayi ... """"""",0.9448569,0.926356,0.9474867,0.41259596,0.91128254,0.5255928,0.9770578,0.9671997
""" this is lame  where's the creativity ? and why put your white boy in the staffs (  """" house n word """" """" position ? you can do better . """"""",0.49835235,0.29056585,0.55734545,0.344614,0.26049352,0.28117183,0.14687778,0.69201714
#news channels must not invite mulla rats on tv to air anti-hindu views  they glorify invaders and anti-nationals on our money,0.61826205,0.41634762,0.58521503,0.43341482,0.40439108,0.22421367,0.39562687,0.7404752
#niggasfavoriteline them white people enslaved me 100 years ago  let's kill there great great great grand children,0.8346757,0.8805145,0.8760824,0.39787027,0.83044004,0.25351468,0.9533248,0.95402986
2 hollywood jews want us to feel bad for not importing jihadists whose doctrine has more jew hate than mein kampf,0.5958905,0.569295,0.61430806,0.40003893,0.5134225,0.24243098,0.53116673,0.8422688
amerikwa is in terminal decline due to self-hating marxist kikes controlling mainstream media and brainwashing white people .,0.5958905,0.6331494,0.7432947,0.46941727,0.5590951,0.24187359,0.5226486,0.8815101
any white guy not into identity politics is a fagg 0t,0.83020335,0.78708094,0.9091764,0.21891664,0.876051,0.327818,0.27928358,0.9430493
because of those racist white people  duh . every question has the same answer mr . wallace,0.5818954,0.42048636,0.63651156,0.22128373,0.23385605,0.0712063,0.11165764,0.8422688
come home  white man . rise up against the jewish agenda . join today . you owe it to your race . you owe it to your children . #heil,0.5958905,0.5510776,0.57061094,0.45152938,0.44017997,0.2854783,0.50624216,0.8686948
cuck : a white church no more,0.5174561,0.5622832,0.62072194,0.44754335,0.6927125,0.7407407,0.20879802,0.7599415
cuckservatives : ben sasse calls out jeff flake,0.44750816,0.3492937,0.32092023,0.663334,0.6161416,0.56911194,0.228447,0.13635679
family of shitskin ingrates tries to put one over white america  gullible status-whoring white via,0.87209356,0.80814576,0.8814314,0.35544983,0.9055077,0.31489918,0.48159495,0.9352267
fishy holohoax : jews drowned in the bug river ( nov . 1942 ): jews not gassed ( or electrocuted or steamed to deat ...,0.3437808,0.41970533,0.44975,0.44466534,0.3624859,0.18868843,0.63571596,0.71348214
great video  please share . #jews are indeed guilty of white #genocide #zionism #zog #whitepride,0.5363433,0.6733836,0.660731,0.54141676,0.5987478,0.3146007,0.7579891,0.87698615
howie-baby  we are going to make a white race kingdom  no jews allowed !,0.6237118,0.7399659,0.59827733,0.50945807,0.522984,0.2583663,0.6848464,0.90432316
international jew criminal plot afoot 2wipe out white race !,0.56268007,0.7778102,0.7242907,0.51280147,0.6637285,0.2517695,0.7601785,0.92382663
it is driven by jews  carried out by somalis and arabs . the issue is keeping europe white .,0.43622825,0.3972079,0.44660017,0.38325304,0.3356276,0.20040208,0.28860527,0.8392567
its not a phobia if the islamic want to kill us ! better to kill them first ! period !,0.8546526,0.77985597,0.632188,0.2664561,0.56461227,0.076372184,0.9740376,0.8926063
most of the sheriffs are members of white extremists groups,0.4151741,0.39785814,0.5136531,0.34742513,0.27358502,0.14772044,0.28770185,0.8008965
no it makes you white wash uncle tom,0.22069082,0.21491325,0.40547726,0.2903653,0.19237605,0.11860943,0.10384085,0.5828836
only phil bryant stood strong  while foreigners like nimrata haley and cucks like robert bentley bowed to the left,0.41807786,0.49377587,0.6356477,0.51885444,0.5776629,0.6266662,0.3213863,0.60492027
religion of piece ! ! ! a piece here and a piece there . kill them before they kill you .,0.83020335,0.9323322,0.80329114,0.25935405,0.72871745,0.1091391,0.98664886,0.9047819
sure there is . i'm finnish and german . i'm white . what are you ? a half breed ?,0.31682462,0.3113844,0.43810907,0.3459759,0.3090915,0.12460795,0.24454546,0.7457435
sure you dont . the majority of the white race wishes you all were dead . and you,0.7509647,0.7517361,0.6356477,0.41297615,0.50231564,0.18314475,0.9133183,0.9041449
the more people google david duke  the more they'll realize he was right about black crime  immigration  and jewish influence over usa .,0.42092466,0.43200052,0.46574092,0.36363354,0.35328764,0.1488403,0.31830728,0.8422688
the origins of jewish neoconservatism #withjewswelose,0.30053464,0.34083515,0.2805075,0.28929806,0.2441982,0.09963388,0.43860796,0.6661938
the world can't coexist with people who want to kill you ! #rt #stopislam #stopjihad #nosharia #nopc,0.61826205,0.76383966,0.46739763,0.3447252,0.5394518,0.11827249,0.9664865,0.26686218
useless turds . in a year all non-fag white men will be with us .,0.8546526,0.8416842,0.9091764,0.41316062,0.83180785,0.5176685,0.4890689,0.9430493
when are we as americans going to show these allah faggots what pain and death look like .,0.7593913,0.8639912,0.90258896,0.38732073,0.890622,0.48238224,0.8763936,0.95402986
white lives don't matter . whites need to die for their sins ! arrest everyone who attends this rally .,0.87209356,0.75992525,0.660731,0.27699217,0.50263053,0.0816887,0.95303506,0.9399891
wow ! i wish you would go on and say that . #banallmuslims but the west is too stupid and can't believe islam is #islamonazism,0.8393344,0.7334508,0.88602567,0.31067345,0.74028516,0.070539206,0.3733784,0.8927005
you are a jew  not a white man .,0.5535644,0.52498025,0.5989831,0.3878795,0.43475178,0.18094984,0.15000153,0.8623443
you should do a mass suicide to show that white people are dominant . seriously kill yourselves it will kill many black people too .,0.8763571,0.8416842,0.70199466,0.27434903,0.5020927,0.07427154,0.9755639,0.9352267
"""  """" white flight . """" """" nice jew euphemism for us fleeing their invading hordes of non white pets . """"""",0.6254302,0.5381878,0.60061187,0.47173965,0.5117351,0.30664244,0.36847907,0.8422688
""" a jewish attention-whore homosexual who  """" prefers """" """" congoid men thinks he speaks for the dwindling white race """"""",0.83020335,0.79747,0.8455845,0.38505244,0.85669464,0.7407407,0.26332027,0.8921792
""" and your  """" white """" """" race is not pure  racial intermixing has been occurring for millenia . see hellenism """"""",0.36211988,0.40843394,0.5634477,0.35238153,0.49902982,0.15069515,0.25869805,0.7998495
""" civic nationalism is three cucks arguing about what it even means to be american ( german  british .. ) and what constitutes integration ( as well as their duty to  """" integrate """" """" their own children into the sweeping change ) """"""",0.41807786,0.32844943,0.4913204,0.4161626,0.42828774,0.30050254,0.29134023,0.6073927
""" i love how this jew rat slave of satan claims she is  """" white """" """" no jew your not white . """"""",0.8269591,0.80814576,0.88075686,0.50200856,0.783563,0.3049031,0.4285298,0.94061774
""" rt  """" an imam is demanding the extermination of the jews """" """" ( via vladtepes ) the jew hate is mainstream islamic ... """"""",0.53837943,0.5578663,0.5368722,0.49862802,0.4089518,0.20879807,0.6642,0.85761094
""" rt ferguson protesters :  """" exterminate white crackers """" """" and """" """" kill whitey """" """" """"""",0.8346757,0.44301778,0.39241537,0.40350878,0.3194842,0.23675722,0.82345974,0.53493255
""" rt jews are shape-shifters they can  """" appear """" """" white black asian christian buddhist muslim etc """"""",0.3897707,0.37014422,0.48508486,0.34997895,0.21355009,0.13662407,0.077561796,0.77136433
""" throw gasoline on the flames . agitate poc . if you really want to  """" wake up normies """" """" we need more racial hatred like seen at evergreen """"""",0.62792164,0.4392029,0.5604987,0.5093044,0.29995367,0.1734558,0.6067349,0.6824193
#jews & #niggers destroy & pervert everything they touch #jewfail #niggerfail,0.93413806,0.89362836,0.9182519,0.50391656,0.9081291,0.7407407,0.7245463,0.9679824
america is a white nation . hit the pavement  invaders . #makeamericawhiteagain #internationalwhiteprideday,0.54375964,0.677781,0.6356477,0.52894956,0.53905416,0.3237829,0.8518157,0.8632592
amren said civic nationalist  not white nationalist you goober,0.44805592,0.39692965,0.52293134,0.3441349,0.32401323,0.16651188,0.30291075,0.73634213
atlanta is pretty bad  but our blacks are much meaner in st . louis lol . they'll kill you,0.7699882,0.84248406,0.812827,0.38419098,0.7510449,0.21203423,0.95448285,0.94267464
black thug attacks old white man with urine because of slavery via,0.6887467,0.75160515,0.80440545,0.4057882,0.62676084,0.29802936,0.65450674,0.8924122
but raping women is ok ? well  i guess that's consistent ; it's ok in the bible . that's why you support trump  aka satan's hemorrhoid .,0.6955873,0.6829016,0.75533974,0.61221623,0.6001021,0.92747444,0.7600832,0.7817414
cville and the state of virginia are run by shitlibs and cucks as we know  all this wil,0.5958905,0.68061227,0.7669555,0.5941155,0.761721,0.7621273,0.5526133,0.56124914
don't care for the white people because nigger's and other people get everything when they come to are county :-),0.7699882,0.73780906,0.734651,0.36738354,0.708083,0.1805585,0.28843364,0.9243946
dumbocrats help me out here . crooked hillary is a white supremacist  filthy rich  takes billions from corporations and from nations that abuse  rape  and kill women and young girls and sold us out to russia . these are things libs are supposed to hate yet you worship her ! yikes,0.7545523,0.7711941,0.8808788,0.60900325,0.5098317,0.7893632,0.8875141,0.83298016
fauck _seeding to kkk my deak,0.5026305,0.791879,0.7943713,0.44336796,0.876051,0.70894635,0.60141087,0.76515543
go back to mexico racist !,0.8269591,0.63068265,0.6389449,0.29037115,0.4109999,0.0787734,0.27636743,0.82950795
here is your white future  you inbred fuckos .,0.8960455,0.80814576,0.8889648,0.34852657,0.93969434,0.68340325,0.28008986,0.9047819
i blame this anti-white violence on jews ( like tim wise ) . they encourage this .,0.44805592,0.6032595,0.56221074,0.4540499,0.38991347,0.14288864,0.6114094,0.88965607
i loathe these faggots and will join antifa myself to come punch nazis if this thing becomes the fuentes gay bathhouse .,0.9320454,0.87427866,0.93234444,0.47621733,0.9237682,0.653747,0.91432226,0.96510845
if congress wont stop funding baby murders  we must stop funding congress pp on a cash course with congress :,0.27359754,0.15673174,0.19540381,0.39683768,0.09528031,0.09028922,0.5180177,0.12322201
jesus u hyper sensitive lib wackos now what print school books showing blacks owned whites ? bring golden calf ahole,0.5818954,0.4248448,0.57753414,0.479526,0.44935703,0.22306223,0.23000446,0.7990049
kill isis,0.7593913,0.80814576,0.45776424,0.2758152,0.6222302,0.09629603,0.9721786,0.8008965
new black panther negroes have started mobilization to burn white communities via,0.73034537,0.76385593,0.74506265,0.42771897,0.69309914,0.29382554,0.85830456,0.92455935
nice neutral article : alt right neonazi white supremacist skinhead racist bigot hater kkk literally hit,0.62792164,0.76390165,0.834533,0.3981955,0.6212718,0.19086783,0.70874584,0.92185575
no  we really are losing.you routinely see altright cucks posting pics of blm conquering statues ... and,0.44805592,0.415029,0.51432467,0.5610206,0.56023866,0.5108015,0.25859913,0.19849764
not just the left also cuckservatives rinos jewish neo conservatives,0.53837943,0.5811718,0.714319,0.32665598,0.6565517,0.3870306,0.25113592,0.86962336
race mixing kills ! #miscegenation #whitegenocide #trumprussia,0.73034537,0.7069422,0.69353503,0.32051444,0.69132316,0.14898354,0.8908898,0.8632592
retweeted elder lansing ( ): demokkkrats stop your racist deceit ! obama sat underneath a racist ...,0.5363433,0.5600381,0.8798489,0.34206116,0.3212318,0.11940074,0.15678872,0.68256485
she's a jew convert.the worst type.jews hate white people .,0.83020335,0.7208003,0.7944826,0.41610575,0.6222302,0.17342965,0.17033662,0.9399891
so as we can see islam teaches it's followers to kill in the name of allah  to kill innocent people,0.60845,0.6449898,0.38651568,0.17919302,0.4238051,0.062367927,0.91432226,0.8190845
so mr spencer ... muslims hate you and in all your clever rhetoric  best you can do is hate them back ! #spoiltbratsyndrome,0.7545523,0.53849757,0.65894896,0.32750604,0.3568024,0.10447209,0.21688539,0.8632592
stephanie is a racist female :,0.6357597,0.4539767,0.57481927,0.32730648,0.35954165,0.14541933,0.09512762,0.6832292
this man has reported   and many other white brothers . he is a dirty jew and he must be stopped .,0.7212062,0.8064335,0.8759897,0.43898666,0.7131537,0.18093999,0.49428034,0.9399891
what would you call a she wigger ? a whoe ? twick ? oh i remember a stupid white bich !,0.9320454,0.8486256,0.9235056,0.53247523,0.9066618,0.6279578,0.5278254,0.93497616
white trash,0.8831064,0.67680067,0.8393436,0.20417662,0.69309914,0.15899804,0.21752156,0.92371273
who are suckers for gun control and marxism ? non whites and far left faggots . it's the fall of america .,0.77806646,0.8266191,0.9091764,0.34866428,0.88879377,0.44467613,0.6760926,0.95402986
yes . kill all jihadis .,0.91406596,0.87427866,0.7970921,0.25344455,0.65267605,0.052850362,0.98663706,0.9236025
