,text,toxicity,severe_toxicity,insult,flirtation,profanity,sexually_explicit,threat,identity_attack
0,"""  """" : jewish harvard professor noel ignatiev wants to abolish the white race via #wr """" """" """"""",0.44428605,0.72828496,0.64135385,0.5249625,0.613844,0.26747888,0.87178826,0.9047819
1,""" rt : tune in today's jmt for my interview w / robert spencer on  """" the complete infidel's guide to iran ! """" """" """"""",0.2712817,0.16180901,0.2855433,0.36432782,0.1391202,0.10451106,0.23805562,0.42020705
2,: : hate posters ? you want hate buddy ? read the koran . goo ...,0.37221906,0.17060663,0.29298288,0.29243696,0.1295458,0.054272007,0.0755485,0.5056272
3,: hunt for white women : black racist serial killer confesses to 41 murders,0.5810591,0.7091398,0.7080413,0.40928066,0.41591167,0.24699381,0.76448077,0.92215836
4,: looks like he was a fan of the islamic jew-hate reza aslan peddles as critique of i ...,0.40636617,0.37250823,0.4513557,0.50778216,0.2409928,0.14577408,0.24234976,0.759208
5,and dems  esp . city govts  are the ones who want poor people to think they can't make it off the dem plantation .,0.17661177,0.039092887,0.14727657,0.22547661,0.04331584,0.03335036,0.040557798,0.12576912
6,antiwhites hate white solidarity . their hate for white european self preservation knows no,0.5535644,0.53967917,0.6521158,0.3023218,0.38626823,0.10679016,0.24693091,0.8921792
7,are forever white racemass murderers ! ! !,0.8763571,0.76388884,0.70199466,0.5025723,0.56537706,0.23873219,0.774859,0.9047819
8,i have warned of sharia finance for years,0.13565879,0.062450368,0.049537674,0.16218892,0.057189204,0.0264483,0.17873606,0.21028993
9,i think white people are waking up in unprecedented numbers,0.34575438,0.2860246,0.29329225,0.2685944,0.21938068,0.121365234,0.25062963,0.66519046
10,i'm not a racist at all but i mean all the numbers are saying caucaisian people are set to disappear soon so i'm for keeping the race,0.502098,0.31258315,0.23730949,0.2948981,0.21278283,0.086050175,0.6473801,0.5693777
11,its a planned growth of africans & a planned elimination of whites  #whitegenocide  #kalergi  #maga #tcot #trump #altright #sjw #buildawall,0.5958905,0.58052385,0.58844197,0.3200878,0.5168968,0.15105942,0.7661548,0.80621547
12,its ok to be white - the book,0.23891698,0.12719984,0.17263447,0.26797584,0.14720245,0.12583882,0.16084272,0.3926251
13,now it is full of jew and government infiltrators .,0.45045215,0.5444372,0.660731,0.42822093,0.49762708,0.19065948,0.32205,0.8553252
14,only racist if you're white  this just makes you smart .,0.5818954,0.3324272,0.56077033,0.29451293,0.252446,0.07144773,0.12310722,0.8008965
15,prof kmac is right all along that jews have been manipulate white-euro people,0.44509158,0.5459571,0.5732177,0.3753856,0.44186324,0.18486793,0.3086535,0.8632592
16,they say they are anti-racist  but what they really are is anti-white ! via,0.4458971,0.29291812,0.42363307,0.25120372,0.2240669,0.072798595,0.22627088,0.7432052
17,true . swpl types weapjize blacks vs bad whites  and fetishize them w / mandingo or queen ( ie beyonc ) fantasies,0.42631236,0.58421844,0.660731,0.43547094,0.55814844,0.5409214,0.527828,0.9044868
18,whites don't contribute anything other than labor and kids .,0.5038962,0.36717302,0.54705805,0.31633773,0.33018565,0.14993952,0.15801086,0.79980314
19,"""  """" : latest unhinged anti-white rant at #ferguson """" """" ugly black lesbian . #negrogeddon """"""",0.8393344,0.80814576,0.90519404,0.2582635,0.8434513,0.52793235,0.17257021,0.948121
20,"""  """" : new zealand : white faces will soon be a minority via """" """" """"""",0.31639808,0.19062696,0.21511763,0.41460413,0.14522967,0.1681247,0.3162275,0.47939146
21,"""  """" optics frat """" """" - i . e .  """" """" i'm interested in being a spectacle for the anti-white media  not organizing white people into a cohesive pro-white movement . """" """" being a clown will get your media coverage . is your goal is to get on tv for a 2 minute hate ? """"""",0.456592,0.37723476,0.71085346,0.48309547,0.23843691,0.14340544,0.21275829,0.8004492
22,"""  """" we must have an all-white america ... in which our children and our grandchildren will play and go to school with other white children . """" """" - glr """"""",0.43275943,0.5089248,0.5168581,0.54344887,0.24568893,0.2375912,0.5190923,0.7750966
23,"""  """" what our bros & sis experiencing in me : what is coming for us in west . must rise up and awaken . """" """" #bgun """"""",0.20302857,0.06626745,0.067831405,0.42874926,0.05402581,0.07472718,0.1996211,0.09412557
24,""" african  """" refugee """" """" was only here nine days before raping a woman | full story : """"""",0.5835036,0.68214154,0.58687466,0.67519385,0.69107944,0.9355623,0.8595189,0.8632592
